#Solver	Datacenter	VDC	NAllocated	Runtime
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_200.20.pn	vn2_3.1.vn	88	4.935164
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_200.20.pn	vn2_3.2.vn	88	7.873242
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_200.20.pn	vn2_3.3.vn	88	7.170906
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_200.20.pn	vn2_5.1.vn	53	10.972896
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_200.20.pn	vn2_5.2.vn	53	10.895241
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_200.20.pn	vn2_5.3.vn	53	10.881421
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_200.20.pn	vn2_3.1.vn	355	16.049821
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_200.20.pn	vn2_3.2.vn	351	26.852474
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_200.20.pn	vn2_3.3.vn	349	22.931256
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_200.20.pn	vn2_5.1.vn	164	44.313525
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_200.20.pn	vn2_5.2.vn	152	68.039349
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_200.20.pn	vn2_5.3.vn	131	62.984285
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_400.20.pn	vn2_3.1.vn	177	19.916419
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_400.20.pn	vn2_3.2.vn	177	31.847104
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_400.20.pn	vn2_3.3.vn	177	27.278735
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_400.20.pn	vn2_5.1.vn	106	44.621139
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_400.20.pn	vn2_5.2.vn	106	40.079673
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_400.20.pn	vn2_5.3.vn	106	47.397616
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_400.20.pn	vn2_3.1.vn	711	72.116934
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_400.20.pn	vn2_3.2.vn	704	113.293283
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_400.20.pn	vn2_3.3.vn	683	105.004924
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_400.20.pn	vn2_5.1.vn	311	255.866388
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_400.20.pn	vn2_5.2.vn	282	694.137977
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_400.20.pn	vn2_5.3.vn	263	473.422653
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_2000.20.pn	vn2_3.1.vn	888	556.190943
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_2000.20.pn	vn2_3.2.vn	888	865.924952
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_2000.20.pn	vn2_3.3.vn	888	826.968429
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_2000.20.pn	vn2_5.1.vn	533	1277.813855
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_2000.20.pn	vn2_5.2.vn	532	1719.613473
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree_2000.20.pn	vn2_5.3.vn	533	1162.881501
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_2000.20.pn	vn2_3.1.vn	3555	2012.583964
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_2000.20.pn	vn2_3.2.vn	3149	-1
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_2000.20.pn	vn2_3.3.vn	2479	-1
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_2000.20.pn	vn2_5.1.vn	570	-1
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_2000.20.pn	vn2_5.2.vn	429	-1
vdcmapperintrinsic-edge-sets-no-rnd-theory-order-theory-order-vsids-rnd-theory-freq-0-99	tree16_2000.20.pn	vn2_5.3.vn	397	-1
