#Solver	Datacenter	VDC	NAllocated	Runtime
fmcad13_secondnet	tree_200.20	vn2_3.1	88	0.226121
fmcad13_secondnet	tree_200.20	vn2_3.2	88	0.093908
fmcad13_secondnet	tree_200.20	vn2_3.3	87	0.176036
fmcad13_secondnet	tree_200.20	vn2_5.1	48	1.482963
fmcad13_secondnet	tree_200.20	vn2_5.2	51	1.57303
fmcad13_secondnet	tree_200.20	vn2_5.3	52	1.596637
fmcad13_secondnet	tree16_200.20	vn2_3.1	313	0.773439
fmcad13_secondnet	tree16_200.20	vn2_3.2	171	0.475106
fmcad13_secondnet	tree16_200.20	vn2_3.3	129	0.531051
fmcad13_secondnet	tree16_200.20	vn2_5.1	56	1.920814
fmcad13_secondnet	tree16_200.20	vn2_5.2	59	2.126723
fmcad13_secondnet	tree16_200.20	vn2_5.3	57	1.9263
fmcad13_secondnet	tree_400.20	vn2_3.1	177	1.1559
fmcad13_secondnet	tree_400.20	vn2_3.2	177	0.386207
fmcad13_secondnet	tree_400.20	vn2_3.3	174	0.959672
fmcad13_secondnet	tree_400.20	vn2_5.1	96	10.603744
fmcad13_secondnet	tree_400.20	vn2_5.2	102	11.203535
fmcad13_secondnet	tree_400.20	vn2_5.3	102	11.029286
fmcad13_secondnet	tree16_400.20	vn2_3.1	628	3.258828
fmcad13_secondnet	tree16_400.20	vn2_3.2	342	1.672536
fmcad13_secondnet	tree16_400.20	vn2_3.3	257	2.004611
fmcad13_secondnet	tree16_400.20	vn2_5.1	109	13.463854
fmcad13_secondnet	tree16_400.20	vn2_5.2	117	15.655886
fmcad13_secondnet	tree16_400.20	vn2_5.3	114	13.585212
fmcad13_secondnet	tree_2000.20	vn2_3.1	888	81.25394
fmcad13_secondnet	tree_2000.20	vn2_3.2	888	11.446759
fmcad13_secondnet	tree_2000.20	vn2_3.3	871	75.012063
fmcad13_secondnet	tree_2000.20	vn2_5.1	484	1536.660197
fmcad13_secondnet	tree_2000.20	vn2_5.2	508	1550.976439
fmcad13_secondnet	tree_2000.20	vn2_5.3	509	1541.356341
fmcad13_secondnet	tree16_2000.20	vn2_3.1	3140	68.908254
fmcad13_secondnet	tree16_2000.20	vn2_3.2	1712	36.447255
fmcad13_secondnet	tree16_2000.20	vn2_3.3	1286	38.342804
fmcad13_secondnet	tree16_2000.20	vn2_5.1	539	1935.085274
fmcad13_secondnet	tree16_2000.20	vn2_5.2	582	2056.735629
fmcad13_secondnet	tree16_2000.20	vn2_5.3	567	1956.108206
